id	source	extId	pmcid	Title	Abstract	Introduction	Methods	Results	Discussion	Conclusion	Article	Figure	Table	Supplementary material	Author Contributions	?No description
MED:30497052	MED	30497052		Arenavirus	fish, Arenaviridae, Lassa virus, human											
MED:30886772	MED	30886772	PMC6420803	Austwickia chelonae, crocodile lizards	crocodile lizard, Shinisaurus crocodilurus, crocodile lizards, skinks, A. chelonae, reptiles, animals, Austwickia chelonae	crocodile lizard, Shinisaurus crocodilurus, Shinisauridae, crocodile lizards, animals	Animals, crocodile lizards, lizards, crocodile lizard, A. chelonae, Bacteria, Plestiodon chinensis, Austwickia chelonae, skinks, human, Zophobas morio, Salmonella sp., Acinetobacter sp., Pseudomonas sp., Salmonella enterica, Pseudomonas protegens, S. enterica, P. protegens	crocodile lizards, Austwickia chelonae, Salmonella sp., Acinetobacter sp., Pseudomonas sp., Halomonas sp., Bacillus, Fusobacterium, Bacteroides, Chryseobacterium, Morganella, A. chelonae, crocodile lizard, Ophiocordyceps sinensis, skinks, small white, S. enterica, P. protegens, animals	crocodile lizard, animals, crocodile lizards, lizards, Chrysosporium, Nannizziopsis vriesii, veiled chameleons, Chamaeleo calyptratus, Iguana delicatissima, algae, A. chelonae, Salmonella sp., Acinetobacter sp., Pseudomonas sp., Halomonas sp., skinks, Salmonella, Fusobacterium, Bacteroides, Chryseobacterium, Morganella, Austwickia chelonae, Dermatophilus chelonae, Dermatophilaceae, vertebrates, mammals, birds, reptiles, humans, D. congolensis, snapping turtle, king cobra, Ophiophagus hannah, Pogona vitticeps, hooded crows, Corvus corone cornix, sheep, rabbits, guinea pigs	Austwickia chelonae, crocodile lizards, skinks, A. chelonae, Salmonella, Fusobacterium, Bacteroides, Chryseobacterium, Morganella, crocodile lizard, animals	A. chelonae, S. enterica, Acinetobacter sp., P. protegens			chimeras		
MED:29875243	MED	29875243	PMC6069186	Circovirus	Circoviridae, humans, animals, Pseudomyrmex gracilis, insects, ants, cyclovirus, vertebrates, human, arthropods	Circoviridae, Circovirus, Cyclovirus, vertebrates, porcine circovirus 2, PCV, swine, humans, mammals	Circovirus, Circoviridae, Cyclovirus, Carnivora, Pseudomyrmex	Circovirus, Tomato clownfish, Amphiprion frenatus, Vertebrata, Perciformes, Elephant fish, Paramormyrops, Osteoglossiformes, Cyclovirus, bee, Tropilaelaps mercedesae, Arthropoda, Arachnida, Varroa, Varroa destructor, Pseudomyrmex gracilis, Insecta, Thelohanellus kitauei, Cnidaria, Myxosporea, horse, Modiolus philippinarum, Mollusca, Bivalvia, Mediterranean mussel, Mytilus galloprovincialis, Biomphalaria glabrata, Gastropoda, Conus tribblei, Western predatory mite, Galendromus occidentalis, Metaseiulus occidentalis, Brown recluse, Loxosceles reclusa, Oryctes, Ephydra, Parhyale hawaiensis, Malacostraca, Caligus rogercresseyi, Maxillopoda, Triops cancriformis, Branchiopoda, Pork tapeworm, Taenia solium, Cestoda, Cyclophyllidea, human, canary, starling, BFDV, mink, PCV, porcine circovirus 2, goose, SgCV, wels catfish, barbel, fish, hagfish, Eptatretus burgeri, Pseudomyrmex, vertebrates, P. gracilis, Pseudomyrmex elongatus, Pseudomyrmex spinicola, Pseudomyrmex oculatus, P. elongatus, P. spinicola, Guanacaste, P. oculatus, Cephalotes atratus, birds, Passeriformes, chimpanzee, dragonflies	Circovirus, Pseudomyrmex, Pseudomyrmex gracilis, P. gracilis, P. elongatus, P. spinicola, P. oculatus, insects, vertebrates, porcine circovirus 1, PCV, humans, waterfowl, mammals, mink, bats, dogs, pigs, cyclovirus, arthropods, human							
MED:30158917	MED	30158917	PMC6104171	Archaea, Eukaryote	eukaryote, eukaryotes, Archaea, Eukarya, reptiles, Sauropsida, birds, amniotes, Bacteria, mammals	Archaea, Bacteria, Eukarya, eukaryotes, prokaryote, eukaryote, mammals, birds		Eukaryote, Archaea, eukaryotes, Eukarya, Bacteria, Thaumarchaeota, mammals, reptiles, amniotes, Sauropsida, birds, turtles, Amniota, Archosauria, Euryarchaeota, Aves, Crocodilia, Thermotogales, Aquificales, Thermoplasmatales, plants	Eukarya, eukaryotes, Archaea, Bacteria							
MED:30443409	MED	30443409	PMC6232428	parvoviruses	Parvoviridae, Amdoparvovirus, carnivores, animals, EPVs, Transcaucasian mole vole, Ellobius lutescens, Protoparvovirus, EPV, Protobothrops mucrosquamatus, rodents, parvovirus	Parvoviruses, Parvoviridae, Parvovirinae, Densovirinae, parvovirus, EPVs, Amdoparvovirus, Aleutian mink disease virus, AMDV, Carnivore amdoparvovirus 1, American mink, Neovison vison, mink, animals, raccoon dogs, skunks, red pandas, Protoparvovirus	EPVs, parvovirus, Parvovirinae, coffee	EPVs, AMDV, mammals, EPV, Amdoparvovirus, parvovirus, parvoviruses, Protoparvovirus, Aleutian mink disease virus, CPV, Canine parvovirus, Porcine parvovirus, mice, Transcaucasian mole vole, Ellobius lutescens, mouse, Ellobiustalpinus, E. lutescens, E.lutescens, Protobothrops mucrosquamatus, mink, Burmese python, Python bivittatus, Cape hyrax, Tasmanian devil, shrews	EPV, parvovirus, vertebrates, EPVs, Dependoparvovirus, Protoparvovirus, birds, mammals, rodents, marsupials, Amdoparvovirus, carnivores, Parvovirinae, Transcaucasian mole vole, parvoviruses, densoviruses, AMDV							
MED:28878306	MED	28878306	PMC5587560	Chlamydia	humans, animals, Chlamydiae, Chlamydia, snakes	humans, Chlamydiae, Chlamydia, snakes, Chlamydia pneumoniae, reptiles, crocodiles, lizards, vertebrates, human	C. pneumoniae, snakes, Simkania negevensis, C. suis, Chlamydia	C. pneumoniae, snakes, Vipera, Viperidae, Vipera latastei, Corallus batesii, Boidae, Atheris, Eunectes notaeus, eukaryotes, Serratia marcescens, Proteobacteria, Salmonella enterica, Bacteroidetes, Achromobacter sp., Luteimonas, Pseudomonas aeruginosa, S. enterica, Chitinophagaceae, animals, Chlamydia, Monocercomonas, Sporothrix schenckii, Chlamydia sp., C. pneumoniae LPCoLN, C. pecorum, C. trachomatis, Sanzinia madagascariensis, Koala, Phascolarctos cinereus, Human, Homo sapiens, Chlamydiaceae, Chlamydiales, C. pneumoniae AR39, emerald tree boa, C. caviae, C. felis, C. suis, C. psittaci, C. muridarum, C. abortus, Helicobacter pylori, Clostridium sp., reptiles, Chlamydiae								
MED:28284244	MED	28284244	PMC5646239		parvoviruses, Parvoviridae, vertebrates						Parvoviruses, parvovirus, Densovirinae, Parvovirinae, Eidolon helvum parvovirus 2, Eidolon helvum, turkey, rat, pigs, common vampire bats, Desmodus rotundus, D. rotundus, Dependoparvovirus, Protoparvovirus, Myotis davidii, primate, Cebus, Protobothrops mucrosquamatus, canary, Serinus canaria, Mesitornis unicolor, Amdoparvovirus, Bocaparvovirus, Tetraparvovirus, Erythroparvovirus, Cebus capucinus, Parvoviridae	parvovirus, parvoviruses	Cebus capucinus, Mesitornis unicolor, Protobothrops mucrosquamatus, Myotis davidii, Serinus canaria, D. rotundus, C. capucinus, P. mucrosquamatus, S. canaria			
MED:29462190	MED	29462190	PMC5834213	carpet pythons, Bornaviridae	carpet pythons, Morelia spilota, placental mammals, humans, mammals, plants, animals, reptiles, snakes	Bornaviridae, Mononegavirales, Borna disease virus, BDV, horses, sheep, rabbits, guinea pigs, macaques, chickens, parrots, canaries, geese, swans, animals, birds, mammals, reptiles, Gaboon viper, Bitis gabonica, Elapsoidea, Viruses, Bornavirus, Crotalus, Agkistrodon, carpet pythons, Morelia spilota	snakes, Animals, carpet python, Morelia spilota, Morelia spilota imbricata, Eukaryote, Reptile bornavirus, T4, Sierra Nevada virus, Nyamiviridae, Mononegavirales	carpet pythons, Carpet python, T4, BDV, marsupials, primates, humans, mammals, aye-aye, Sierra Nevada virus, Viruses, Bornavirus, Mononegavirales, Morelia spilota, Python, Jaguar, M.spilota, pygmy python, Antaresia perthensis, primate, Colobus angolensis, mandrill, Mandrillus leucophaeus, Daubentonia madagascariensis, monkey, Pteronotus parnelli, tammar wallaby, Macropus eugenii, Antarctic minke whale, Balaenoptera bonaerensis, tigers, Panthera tigris, polar bears, Ursus maritimus, domestic cats, Felis catus, giant pandas, Ailuropoda melanoleuca, walruses, Odobenus rosmarus, white rhinoceros, Ceratotherium simum, gray short-tailed opossum, Monodelphis domestica, Human, Homo sapiens, Manis pentadactyla, Orcinus, Animals, Antaresia, snakes	carpet python, carpet pythons, Bornavirus, fish, Viruses, Bornaviridae, snakes, Mononegavirales, plants, animals, Ebola virus, Bats, Eptesicus, mammals, Sauropsida, reptiles, birds, thirteen-lined ground squirrel, Ictidomys tridecemlineatus, Borna disease virus, great apes, Canis simensis, pilot whales, viral haemorrhagic septicaemia virus, Pacific herring, Clupea pallasi, human, variegated squirrel, Cyanopsitta spixii, Dinosauria					carpet python, Bornavirus, Borna disease virus		
MED:30513942	MED	30513942	PMC6315674	Gecko	gecko, Tarentola gigas, arthropods, vertebrates, plants, reptiles	birds, reptiles, geckos, moorish gecko, Tarentola mauritanica, gecko, Tarentola annularis, Tarentola gigas, human, mice, cats, plants, fish, T. gigas, insects, T. gigas gigas, Alauda razae, fishes, arthropods, T. gigas brancoensis, Calonectris edwardsii	insects, gecko, T. gigas gigas, T. gigas brancoensis, reptiles, vertebrates, plants, animals, T. gigas, lizards, birds, fishes, bovine	plants, birds, Zygophyllaceae, Noctuidae, Lepidoptera, Culicidae, Diptera, Vertebrates, Tenebrionidae, T. gigas brancoensis, Aizoaceae, T. gigas gigas, reptiles, fishes, Hemiptera	T. gigas, plants, birds, vertebrates, fishes, reptiles, fish, Tarentola raziana, gecko, Sula leucogaster, C. edwardsii, Coleoptera, Diptera, Orthoptera, Hymenoptera, Mantodea, T. raziana, Tarentola, Chioninia stangeri, lizards, Gallotia caesaris, insects, geckos, Hemiptera, Lepidoptera, arthropods, Chloris virgata, Zygophyllum simplex L., Limonium, A. razae, Passeriformes, Passer, T. gigas brancoensis, larks	T. gigas, plants, birds, gecko, fishes		plants, vertebrates, fishes, reptiles, birds, Tarentola gigas				
MED:25069839	MED	25069839	PMC4124145		animals, humans	humans, animals, H1N1, influenza virus, pigs, H7N9, birds, coronavirus, Ebola virus, bats, ticks, West Nile virus, WNV, horses, human, monkey, HIV, H17N10	Old world arenaviruses, Luna virus, eukaryotes, Lymphocytic choriomeningitis virus, simian adenovirus, Simian adenovirus 3, Simian adenovirus 18, Simian adenovirus 21, Simian adenovirus 49, Simian adenovirus 1, Choristoneura occidentalis granulovirus, Spodoptera litura granulovirus, Mobala virus, Morogoro virus, Mopeia virus, Tospovirus, Tomato spotted wilt virus, Impatiens necrotic spot virus, Ictalurid herpesvirus 1, Human adenovirus 54, LCMV, Kobuvirus, Bocavirus, Dependovirus, pig, Chimpanzee, animals									
