Date and time of query: 2019-04-18 18:10:59.489511
Hit count:40
Query: metagenomic$reptile
	isOpenAccess	citedByCount	id	authorString	title	journalTitle	pubYear	journalVolume	pageInfo	doi
	N	0	30497052	Pontremoli C, Forni D, Sironi M.	Arenavirus genomics: novel insights into viral diversity, origin, and evolution.	Curr Opin Virol	2018	34	18-28	10.1016/j.coviro.2018.11.001
	Y	0	30886772	Jiang H, Zhang X, Li L, Ma J, He N, Liu H, Han R, Li H, Wu Z, Chen J.	Identification of Austwickia chelonae as cause of cutaneous granuloma in endangered crocodile lizards using metataxonomics.	PeerJ	2019	7	e6574	10.7717/peerj.6574
	Y	1	29875243	Dennis TPW, Flynn PJ, de Souza WM, Singer JB, Moreau CS, Wilson SJ, Gifford RJ.	Insights into Circovirus Host Range from the Genomic Fossil Record.	J Virol	2018	92		10.1128/JVI.00145-18
	Y	1	30158917	Fournier GP, Poole AM.	A Briefly Argued Case That Asgard Archaea Are Part of the Eukaryote Tree.	Front Microbiol	2018	9	1896	10.3389/fmicb.2018.01896
	Y	0	30443409	Pénzes JJ, Marsile-Medun S, Agbandje-McKenna M, Gifford RJ.	Endogenous amdoparvovirus-related elements reveal insights into the biology and evolution of vertebrate parvoviruses.	Virus Evol	2018	4	vey026	10.1093/ve/vey026
	Y	7	28878306	Taylor-Brown A, Spang L, Borel N, Polkinghorne A.	Culture-independent metagenomics supports discovery of uncultivable bacteria within the genus Chlamydia.	Sci Rep	2017	7	10661	10.1038/s41598-017-10757-5
	Y	3	28284244	Souza WM, Romeiro MF, Fumagalli MJ, Modha S, de Araujo J, Queiroz LH, Durigon EL, Figueiredo LT, Murcia PR, Gifford RJ.	Chapparvoviruses occur in at least three vertebrate classes and have a broad biogeographic distribution.	J Gen Virol	2017	98	225-229	10.1099/jgv.0.000671
	Y	4	29462190	Hyndman TH, Shilton CM, Stenglein MD, Wellehan JFX.	Divergent bornaviruses from Australian carpet pythons with neurological disease date the origin of extant Bornaviridae prior to the end-Cretaceous extinction.	PLoS Pathog	2018	14	e1006881	10.1371/journal.ppat.1006881
	Y	0	30513942	Pinho CJ, Santos B, Mata VA, Seguro M, Romeiras MM, Lopes RJ, Vasconcelos R.	What Is the Giant Wall Gecko Having for Dinner? Conservation Genetics for Guiding Reserve Management in Cabo Verde.	Genes (Basel)	2018	9		10.3390/genes9120599
	Y	1	25069839	Ueno K, Ishii A, Ito K.	ELM: enhanced lowest common ancestor based method for detecting a pathogenic virus from a large sequence dataset.	BMC Bioinformatics	2014	15	254	10.1186/1471-2105-15-254
	Y	0	30635006	Brinkmann A, Hekimoğlu O, Dinçer E, Hagedorn P, Nitsche A, Ergünay K.	A cross-sectional screening by next-generation sequencing reveals Rickettsia, Coxiella, Francisella, Borrelia, Babesia, Theileria and Hemolivia species in ticks from Anatolia.	Parasit Vectors	2019	12	26	10.1186/s13071-018-3277-7
	N	9	25721297	Ng TF, Wellehan JF, Coleman JK, Kondov NO, Deng X, Waltzek TB, Reuter G, Knowles NJ, Delwart E.	A tortoise-infecting picornavirus expands the host range of the family Picornaviridae.	Arch Virol	2015	160	1319-1323	10.1007/s00705-015-2366-6
	N	21	27440877	López-Bueno A, Mavian C, Labella AM, Castro D, Borrego JJ, Alcami A, Alejo A.	Concurrence of Iridovirus, Polyomavirus, and a Unique Member of a New Group of Fish Papillomaviruses in Lymphocystis Disease-Affected Gilthead Sea Bream.	J Virol	2016	90	8768-8779	10.1128/JVI.01369-16
	N	13	27334580	Dill JA, Camus AC, Leary JH, Di Giallonardo F, Holmes EC, Ng TF.	Distinct Viral Lineages from Fish and Amphibians Reveal the Complex Evolutionary History of Hepadnaviruses.	J Virol	2016	90	7920-7933	10.1128/JVI.00832-16
	Y	13	26039313	Colston TJ, Noonan BP, Jackson CR.	Phylogenetic Analysis of Bacterial Communities in Different Regions of the Gastrointestinal Tract of Agkistrodon piscivorus, the Cottonmouth Snake.	PLoS One	2015	10	e0128793	10.1371/journal.pone.0128793
	Y	3	28515291	Stenglein MD, Sanchez-Migallon Guzman D, Garcia VE, Layton ML, Hoon-Hanks LL, Boback SM, Keel MK, Drazenovich T, Hawkins MG, DeRisi JL.	Differential Disease Susceptibilities in Experimentally Reptarenavirus-Infected Boa Constrictors and Ball Pythons.	J Virol	2017	91		10.1128/JVI.00451-17
	Y	2	27590473	Bourg M, Nobach D, Herzog S, Lange-Herbst H, Nesseler A, Hamann HP, Becker S, Höper D, Hoffmann B, Eickmann M, Herden C.	Screening red foxes (Vulpes vulpes) for possible viral causes of encephalitis.	Virol J	2016	13	151	10.1186/s12985-016-0608-1
	Y	10	28560043	Taylor-Brown A, Polkinghorne A.	New and emerging chlamydial infections of creatures great and small.	New Microbes New Infect	2017	18	28-33	10.1016/j.nmni.2017.04.004
	Y	45	24904612	Knief C.	Analysis of plant microbe interactions in the era of next generation sequencing technologies.	Front Plant Sci	2014	5	216	10.3389/fpls.2014.00216
	Y	16	25205093	Stenglein MD, Jacobson ER, Wozniak EJ, Wellehan JF, Kincaid A, Gordon M, Porter BF, Baumgartner W, Stahl S, Kelley K, Towner JS, DeRisi JL.	Ball python nidovirus: a candidate etiologic agent for severe respiratory disease in Python regius.	MBio	2014	5	e01484-14	10.1128/mBio.01484-14
	Y	14	25566226	Smits SL, Bodewes R, Ruiz-Gonzalez A, Baumgärtner W, Koopmans MP, Osterhaus AD, Schürch AC.	Assembly of viral genomes from metagenomes.	Front Microbiol	2014	5	714	10.3389/fmicb.2014.00714
	N	26	25080342	Gilbert C, Meik JM, Dashevsky D, Card DC, Castoe TA, Schaack S.	Endogenous hepadnaviruses, bornaviruses and circoviruses in snakes.	Proc Biol Sci	2014	281	20141122	10.1098/rspb.2014.1122
	Y	22	25993603	Stenglein MD, Jacobson ER, Chang LW, Sanders C, Hawkins MG, Guzman DS, Drazenovich T, Dunker F, Kamaka EK, Fisher D, Reavill DR, Meola LF, Levens G, DeRisi JL.	Widespread recombination, reassortment, and transmission of unbalanced compound viral genotypes in natural arenavirus infections.	PLoS Pathog	2015	11	e1004900	10.1371/journal.ppat.1004900
	Y	0	30746341	Dehhaghi M, Kazemi Shariat Panahi H, Holmes EC, Hudson BJ, Schloeffel R, Guillemin GJ.	Human Tick-Borne Diseases in Australia.	Front Cell Infect Microbiol	2019	9	3	10.3389/fcimb.2019.00003
	N	1	28017728	Worley KC, Richards S, Rogers J.	The value of new genome references.	Exp Cell Res	2017	358	433-438	10.1016/j.yexcr.2016.12.014
	Y	0	30805020	Ballard JWO, Wilson LAB.	The Australian dingo: untamed or feral?	Front Zool	2019	16	2	10.1186/s12983-019-0300-6
	Y	45	21138572	Schwartz TS, Tae H, Yang Y, Mockaitis K, Van Hemert JL, Proulx SR, Choi JH, Bronikowski AM.	A garter snake transcriptome: pyrosequencing, de novo assembly, and sex-specific differences.	BMC Genomics	2010	11	694	10.1186/1471-2164-11-694
	N	13	26610021	Vayssier-Taussat M, Kazimirova M, Hubalek Z, Hornok S, Farkas R, Cosson JF, Bonnet S, Vourch G, Gasqui P, Mihalca AD, Plantard O, Silaghi C, Cutler S, Rizzoli A.	Emerging horizons for tick-borne pathogens: from the 'one pathogen-one disease' vision to the pathobiome paradigm.	Future Microbiol	2015	10	2033-2043	10.2217/fmb.15.114
	Y	55	26026159	Laehnemann D, Borkhardt A, McHardy AC.	Denoising DNA deep sequencing data-high-throughput sequencing errors and their correction.	Brief Bioinform	2016	17	154-179	10.1093/bib/bbv029
	Y	4	29118316	Iraola G, Forster SC, Kumar N, Lehours P, Bekal S, García-Peña FJ, Paolicchi F, Morsella C, Hotzel H, Hsueh PR, Vidal A, Lévesque S, Yamazaki W, Balzan C, Vargas A, Piccirillo A, Chaban B, Hill JE, Betancor L, Collado L, Truyers I, Midwinter AC, Dagi HT, Mégraud F, Calleros L, Pérez R, Naya H, Lawley TD.	Distinct Campylobacter fetus lineages adapted as livestock pathogens and human pathobionts in the intestinal microbiota.	Nat Commun	2017	8	1367	10.1038/s41467-017-01449-9
	Y	34	24348224	El-Metwally S, Hamza T, Zakaria M, Helmy M.	Next-generation sequence assembly: four stages of data processing and computational challenges.	PLoS Comput Biol	2013	9	e1003345	10.1371/journal.pcbi.1003345
